Toldalék_kódja;Toldalék_neve;Lehet_előhangzó
Ht2;itek;0
Ht3;ják;0
Ht3;ik;0
M.He1;am;0
M.He1;em;0
M.He2;ad;0
M.He2;ed;0
M.He3;a;0
M.He3;e;0
M.Ht1;uk;0
M.Ht1;ük;0
M.Ht2;átok;0
M.Ht2;étek;0
M.Ht3;ák;0
M.Ht3;ék;0
P.He1;am;0
P.He1;em;0
P.He2;d;0
P.He2;dd;0
P.He2;ad;0
P.He2;ed;0
P.He3;a;0
P.He3;e;0
P.Ht1;uk;0
P.Ht1;ük;0
P.Ht2;átok;0
P.Ht2;étek;0
P.Ht3;ák;0
P.Ht3;ék;0
F.He1;m;0
F.He2;d;0
F.Ht1;nk;0
F.Ht2;tok;0
F.Ht2;tek;0
F.Ht3;k;0
IKe1;om;0
IKe1;em;0
IKe1;öm;0
IKe2;ol;0
IKe2;el;0
IKe2;öl;0
IKe2;sz;0
IKe2;asz;0
IKe2;esz;0
IKe3;ik;0
P.IKe1;am;0
P.IKe1;em;0
P.IKe2;ál;0
P.IKe2;él;0
P.IKe3;ék;0
F.IKe1;m;0
F.IKe2;l;0
F.IKe3;k;0
